description,url,Model,Year,Volume,Run,Price
"Honda Hr-V Ekonomisks auto, labā stāvoklī. (cena Ogre 6300)",https://www.ss.com/msg/en/transport/cars/honda/hr-v/bfnbmh.html,Hr-v,2016,1.6D,256 thd.,"6,550  €"
"Ērta, ekonomiska mašīna labā vizuālā stāvoklī. 
Apskatāma daugavpilī. Pārra",https://www.ss.com/msg/en/transport/cars/honda/civic/bhjgn.html,Civic,2006,2.2D,322 thd.,"1,600  €"
"Honda Hrv 1, 6D 88Kw 120Zs. 

Iegādājies savu auto pie oficiāla Audi izpla",https://www.ss.com/msg/en/transport/cars/honda/hr-v/lnfhd.html,Hr-v,2017,1.6D,103 thd.,"10,300  €"
"Pārdodu labi saglabātu, koptu Hondu Cr-V ar patiesu, pierādāmu nobraukumu. A",https://www.ss.com/msg/en/transport/cars/honda/cr-v/amble.html,Cr-v,2006,2.2D,157 thd.,"4,900 €"
"Automāts. Pilnpiedziņa. Kopts auto. Dzinējs, kārba strādā bez problēmām. Ir",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkkgch.html,Cr-v,2007,2.0,321 thd.,"1,990  €"
"Honda Civic 2.2 I-Ctdi 6-pakāpju manuālā pārnesumkārba

Pārdod 2006. gada",https://www.ss.com/msg/en/transport/cars/honda/civic/giepe.html,Civic,2006,2.2D,392 thd.,"1,590  €"
"Honda Cr-V 4×4, 2.2 I-Cdti, 103Kw, 2007.Gada, Nobraukums 267 700 km .

Abs",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cejbep.html,Cr-v,2007,2.2D,268 thd.,"4,500  €"
"Honda Cr-v. 2.2D. 4x4, awd. 110 kw/150 z. s. Tikko no Beļģijas. Pilnā komple",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkkgbx.html,Cr-v,2012,2.2D,222 thd.,"7,950  €"
Garantija 1 gads vai 20 000 km. Pārbaudāms nobraukums. Dinamisks un ekonomis,https://www.ss.com/msg/en/transport/cars/honda/cr-v/bmmol.html,Cr-v,2012,2.2D,259 thd.,"6,690  €"
"1.6d manuāls, parkošanās sensori, kruīzkontrole, līniju asistents, sēdekļu a",https://www.ss.com/msg/en/transport/cars/honda/civic/ckllc.html,Civic,2014,1.6D,257 thd.,"5,995  €"
"Honda Crv facelift modelis, 4x4, 2.2 dīzelis 150zs, No Vācijas bez rūsas, ja",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bkfbch.html,Cr-v,2011,2.2D,300 thd.,"4,950  €"
"Sveiki, pārdodu hondu, izmantota kā rezerves mašīna. Motors strādā labi, kār",https://www.ss.com/msg/en/transport/cars/honda/accord/eheke.html,Accord,2005,2.2D,336 thd.,"1,300 €"
"Labs, tīrs auto tiem, kas vēlas modernu automašīnu, kuru ir viegli un salīdz",https://www.ss.com/msg/en/transport/cars/honda/civic/ekelm.html,Civic,2012,1.8,170 thd.,"6,800 €"
"Honda Crv, 2.2. Atvests no Vācijas 

Nesen izieta skate un veikta apkope.",https://www.ss.com/msg/en/transport/cars/honda/cr-v/edjml.html,Cr-v,2013,2.2D,187 thd.,"12,400  €"
"Cr-V ar benzīnmotoru. Mazs noskrējiens. 
Pilnpiedziņa. Automāts. 
Aprīkoju",https://www.ss.com/msg/en/transport/cars/honda/cr-v/bbcgo.html,Cr-v,2013,2.0,136 thd.,"11,500  €"
"Jauna Tehniska apskate uz gadu. 
Pārdod Honda Accord 2.2 dīzelis 103kw 2007",https://www.ss.com/msg/en/transport/cars/honda/accord/bbnnkn.html,Accord,2007,2.2D,413 thd.,"1,600  €"
Honda Cr-V 2.2 I-Cdti 103 KW. Mehāniskā ātrumkārba 6 ātrumi. Teicamā stāvokl,https://www.ss.com/msg/en/transport/cars/honda/cr-v/cenxbf.html,Cr-v,2009,2.2D,289 thd.,"7,100  €"
"Executive Honda Cr-V Hybrid. Viens saimnieks. Panorāma jumta, Ādas elektro s",https://www.ss.com/msg/en/transport/cars/honda/cr-v/binox.html,Cr-v,2020,2.0H,119 thd.,"25,950  €"
"Продам Honda Accord 2008 года, универсал. 

Машина в очень хорошем состоян",https://www.ss.com/msg/en/transport/cars/honda/accord/clghl.html,Accord,2008,2.2D,350 thd.,"4,000 €"
"Honda Civic Type-R 2.0 benzīns. 148kw 
Tehniskā apskate derīga līdz 09.2027",https://www.ss.com/msg/en/transport/cars/honda/civic/deehh.html,Civic,2007,2.0,251 thd.,"7,490  €"
Pārdodu Hondu civic 1.6 bendzīns automāt. Ātrumi pārslēdzās nemanot. Nomainī,https://www.ss.com/msg/en/transport/cars/honda/civic/copeg.html,Civic,2003,1.6,300 thd.,850 €
"Auto no Vācijas, Latvijā nav braukts, Honda Accord 1.8 benzīns, 100kw/134zs,",https://www.ss.com/msg/en/transport/cars/honda/accord/ddehp.html,Accord,2002,1.8,179 thd.,"2,400  €"
"Honda Crv 2.0 4x4 Automāts. Benzīns-Gāze. Jauna tehniskā apskate. 
Pēdējās",https://www.ss.com/msg/en/transport/cars/honda/cr-v/cedhdf.html,Cr-v,2007,2.0,238 thd.,"4,900  €"
"Šodien izieta jauna tehniskā apskate. 
Salīdzinoši mazs nobraukums. 
Dzinē",https://www.ss.com/msg/en/transport/cars/honda/cr-v/dcmdi.html,Cr-v,2005,2.0,227 thd.,"2,450  €"
Pirkta jauna Latvijā 2008. gada maijā. Auto ģimenes īpašumā no pirmās dienas,https://www.ss.com/msg/en/transport/cars/honda/civic/ghkbb.html,Civic,2008,1.8,295 thd.,"1,700 €"
"Два ключа, кожаный салон, съёмный фаркоп. Средний расход - 6 л. 
Плюсом - з",https://www.ss.com/msg/en/transport/cars/honda/accord/eheme.html,Accord,2005,2.2D,352 thd.,"1,800 €"
"Pārdod Honda Civic 2.2 dīzelis, 110 kw, manuālā 6 Ātrumukarba. 

Ekonomisk",https://www.ss.com/msg/en/transport/cars/honda/civic/ephld.html,Civic,2012,2.2D,298 thd.,"3,990  €"
"Automašīna ir labā tehniskā un vizuālā stāvoklī. 
Visi nodokļi ir samaksāti",https://www.ss.com/msg/en/transport/cars/honda/civic/nhjxb.html,Civic,2007,1.4H,247 thd.,"2,050 €"
