description,url,District,R.,m²,Floor,Series,Price
Meklējam jaunos saimniekus ļoti plašam un mājīgam dzīvoklim Ziep,https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/gxmlb.html,Ziepniekkalns Kaplavas 5,3,114,4/5,New,"169,000  €"
"Stilīgs, ērts mājokļis un dzīves telpa urbānajam profesionālim,",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/clfde.html,Agenskalns M. Nometnu 24,1,37,5/5,Recon.,"109,200  €"
"Divistabu dzīvoklis ar savu zaļo zonu no guļamistabas

Ēka atr",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bemmol.html,Centre Matisa 101,2,27,1/3,Recon.,"62,790  €"
"Pārdod vienistabas dzīvokli ar kosmētisko remontu. 
Izskatu mai",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/cccxe.html,Plyavnieki Rudens 6,1,35,1/9,602-th,"48,000  €"
Dzīvoklis atrodas slēgtā un drošā dzīvojamajā kompleksā ar sakop,https://www.ss.com/msg/en/real-estate/flats/riga/yugla/bbcio.html,Yugla Juglas 10,4,138,7/9,New,"228,000  €"
"Pārdod 5 istabu dzīvokli ar vēsturisku šarmu Rīgas centrā

Pla",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acldp.html,Centre Gertrudes 103,5,120,5/5,Pre-war house,"154,000  €"
Продается отличная 2х комнатная квартира. Квартира расположена н,https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/dmkko.html,Vecmilgravis Vecmilgravja 1. l. 49,2,51,1/5,Lit pr.,"39,500  €"
"Tiek pārdots plašs un gaišs 4-ist. dzīvoklis Purvciemā. 
Visā m",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/fnbdl.html,Purvciems Dzelzavas 55,4,76,3/9,467-th,"81,500  €"
Квартира полностью реновирована. Новая печь-камин. Все заменено,https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/hbgdf.html,Sarkandaugava Hapsalas 9,1,39,1/2,Spec. pr.,"35,000 €"
"Piedāvājumā mājīgs, funkcionāls un ērts vienistabas dzīvoklis Sa",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/cbhnd.html,Sarkandaugava Viestura pr. 37,1,34,1/9,Spec. pr.,"36,500  €"
Pardodas 1-istabas dzīvoklis Pleksnes iela 6-15.Dzivoklis atroda,https://www.ss.com/msg/en/real-estate/flats/riga/daugavgriva/agddb.html,Daugavgriva Pleksnes 6,1,40,2/5,Sm.fam.,"33,500  €"
"Vieta, vieta, vieta. Tiek pārdots dzīvoklis ēkā, kas atrodas pre",https://www.ss.com/msg/en/real-estate/flats/riga/centre/blkmm.html,Centre Brivibas 19,4,94,5/6,Pre-war house,"199,500  €"
Balkons. Renovētā ēkā Rīgas centrā pārdod 4 istabu dzīvokli. Izv,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cpgfl.html,Centre Stabu 16,4,109,4/6,Recon.,"185,500  €"
"Trīsistabu dzīvoklis skaisti renovētā ēkā

Ēka atrodas klusā i",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aholk.html,Centre Matisa 101,3,37,1/3,Recon.,"84,640  €"
Piedāvājumā dzīvokļi unikālā koncepta projektā Brooklyn Gates -,https://www.ss.com/msg/en/real-estate/flats/riga/centre/efkbn.html,Centre Gertrudes 110,3,49,3/5,Recon.,"76,850  €"
"Pārdošanā gaišs un mājīgs 2 istabu dzīvoklis Rīgas centrā
Ķieģe",https://www.ss.com/msg/en/real-estate/flats/riga/grizinkalns/bplfnl.html,Grizinkalns Chaka 148,2,53,5/5,Pre-war house,"84,000  €"
Tiek pārdotas ilgtermiņa īres tiesības (Līgums uz 40 gadiem) Āge,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/edcxd.html,Agenskalns M. Nometnu 5,1,39,3/5,Pre-war house,"13,000  €"
Pārdod gaišu un plašu 2 istabu dzīvokli (54 m²) kvalitatīvā 1959,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afpjd.html,Centre Valdemara 147k-1,2,54,5/5,Spec. pr.,"99,900  €"
"Pārdod plašu 4 istabu dzīvokli pilsētas centrā, ēkas 5. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chjkk.html,Centre Stabu 59,4,89,5/5,Pre-war house,"120,000  €"
"Pārdod plašu 4 izoletu istabu dzīvokli pilsētas centrā, ēkas 1.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcijxb.html,Centre Stabu 59,4,87,1/5,Pre-war house,"109,000  €"
"Pārdod 2 istabu dzīvokli ar balkonu. 

-Lieliska lokācija;
-P",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/cjofo.html,Kengarags Latgales 258,2,45,5/5,Chrusch.,"63,498  €"
Tiek pārdots dzīvoklis ar telpām un pagrabu un parkinga vietu pi,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/ceknpb.html,Latgales priekshpilset Daugavpils 48a,3,42,5/6,Pre-war house,"34,698  €"
"Pārdod 1 ist dzīvokli ar parkingu un zemi īpašumā. 

-Dzīvokli",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/admxh.html,Yugla Vangazhu 7,1,35,1/12,Spec. pr.,"52,698  €"
"Dzīvoklis jaunajā projektā ""Hill Garden Kapseļi"" – Āgenskalnā.",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/agoxl.html,Agenskalns Kapselu 11,2,63,3/3,New,"240,160  €"
"Продается 4комнатная квартира и пятая как зал с кухней, в цену в",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ebnmi.html,Centre Vesetas 15,5,150,4/5,New,"485,000  €"
"Pārdodu remontējamu 1.istabas dzīvokli Gaileņu ielā 8, Jaunciemā",https://www.ss.com/msg/en/real-estate/flats/riga/jaunciems/kfhfp.html,Jaunciems Gailenu 8,1,34,2/5,103-th,"26,498  €"
Pārdod vienistabas dzīvokli Sarkandaugavā. Nepieciešams remonts.,https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/afbhj.html,Sarkandaugava Zageru 6,1,26,3/4,Pre-war house,"17,900  €"
Plašs 3-istabu dzīvoklis ar pārdomātu plānojumu un izcilu skatu,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dhohh.html,Agenskalns Trijadibas 1A,3,131,3/7,New,"518,188  €"
"Dzīvoklis, kuru var pilnībā iekārtot pēc savas gaumes un realizē",https://www.ss.com/msg/en/real-estate/flats/riga/zasulauks/chpoh.html,Zasulauks Tapeshu 20,2,48,1/5,Spec. pr.,"42,000  €"
