description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Продаём капитально, качественно отремонтированную 3х комнатную к",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/epoox.html,Lielupes 1 k-6,3,57,4/4,Chrusch.,"1,018 €","58,000  €"
"Piedāvājam iegādāties plašu un gaišu divas istabu dzīvokli. 
Dz",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/fpogb.html,Gobas 20,2,55,4/9,Spec. pr.,833 €,"45,800  €"
"Pārdošanā plašs 3 istabu dzīvoklis Lielajā ielā 59, Bolderājā. D",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/bleib.html,Liela 59,3,73,5/5,Spec. pr.,863 €,"63,000  €"
Pārdod 2 istabu dzīvokli Bolderājā. Dzīvoklis ir labā tehniskā u,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/gmeff.html,Gobas 22,2,46,4/5,103-th,957 €,"44,000  €"
"Pārdod 1-istabu dzīvokli, kopējā platība 33 kv. m. 3./5. stāvs.",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/acnng.html,Gobas 24,1,33,3/5,Spec. pr.,985 €,"32,500  €"
"Квартира под ремонт 
Новые пластиковые окна и застекленная лодж",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/foiof.html,Plata 18/1,3,73,5/5,Spec. pr.,760 €,"55,500  €"
"Pārdod mājīgu un koptu 2 istabu dzīvokli mūra mājā – 46 m², 2. s",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/gflii.html,Gobas 29,2,46,2/5,Spec. pr.,"1,196 €","55,000 €"
Собственник продает 2 - комнатную квартиру. Хорошее месторасполо,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/ainjk.html,Gobas 31,2,38,5/5,Chrusch.,947 €,"36,000  €"
"Īpašnieks pārdod divuistabu dzīvokli Bolderājā. Visas ērtības, c",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/ankjo.html,Lielupes 44a,2,45,1/2,Stalin project,578 €,"26,000  €"
"Pārdod 2 istabu dzīvokli Bolderajā. 
Dzīvoklis ļoti labā tehnis",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/aexgd.html,Gobas 26,2,54,5/5,103-th,870 €,"47,000  €"
"Īpašnieks pārdod dzīvokli Bolderājā. Klusā, skaistā vietā. Skats",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/gjxnb.html,Liela 7,1,32,2/2,Pre-war house,403 €,"12,900  €"
"Vai Jums ir vajadzīgs labs 1-istabu dzīvoklis? 

+ Dzīvoklis i",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/agehf.html,Stagaru 4,1,36,4/5,Spec. pr.,"1,111 €","40,000  €"
Pārdod gaišu un siltu 3 istabu dzīvokli ar skatu uz abām mājas p,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/cjfeb.html,Gaigalas 23a,3,68,4/5,103-th,"1,250 €","85,000  €"
"Labdien. 
Vai Tu meklē vietu, kuru saukt par savām mājām? 
Vai",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/gcjpj.html,Plata 8,2,49,1/2,Stalin project,"1,163 €","57,000  €"
Pārdodam unikālo dzīvokli. Mājā ir tikai trīs dzīvokļi. Sava ats,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/hcbof.html,Mencu 10C,1,35,1/2,Priv.house,857 €,"30,000  €"
"Kvalitatīvs dzīvoklis pēc kapitālā remonta. Ļoti ērts 3.stāvs, n",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/chjhm.html,Lemeshu 9,3,63,3/9,602-th,"1,349 €","85,000  €"
"Pārdod plašu un gaišu 1 istabas dzīvokli Bolderājā, Admirāļu iel",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/elgnf.html,Admiralu 22,1,39,5/5,Sm.fam.,731 €,"28,500  €"
Продаётся светлая квартира на берегу реки с шикарным видом на ка,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/egnij.html,Lielupes 1/6,2,42,3/4,Chrusch.,810 €,"33,999  €"
Pārdodu atbrīvotu 1-istabas dzīvokli bez remonta. Ēkai nav savas,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/aomib.html,Admiralu 22,1,39,2/5,Sm.fam.,744 €,"28,998  €"
"Pārdodu mājīgu 1 istabas dzīvokli klusā, zaļā un sakoptā apkaimē",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/dkbld.html,Gobas 16,1,33,4/5,103-th,"1,061 €","35,000  €"
"Светлая квартира в кирпичном доме, расположенном в тихом зелёном",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/eiecg.html,Keramikas 8,2,43,3/4,Chrusch.,756 €,"32,500  €"
Māja ar trim dzīvokļiem un atsevišķu ieeju. Dzīvoklī 1. stāva pa,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/effeb.html,Kaplu 1,2,50,2/2,Pre-war house,580 €,"29,000  €"
"Plašs dzīvoklis Staļina laika projektā, pilnībā gatavs dzīvošana",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/agpbg.html,Lielupes 1 k-2,2,64,2/2,Stalin project,836 €,"53,500  €"
"Tiek piedāvāts mājīgs, gaišs un funkcionāli plānots dzīvoklis, k",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/fcplf.html,Lemeshu 1,3,63,2/2,Stalin project,"1,251 €","78,800  €"
