url,description,Street,R.,m²,Floor,Series,"Price, m2",Price
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bemphj.html,"Izīrēju gaišu un mājīgu 2 istabu dzīvokli Rīgas centrā. 
+ noda",Pernavas 12,2,42,1/5,Chrusch.,10 €,420  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/aclbi.html,"Izīrē 2 istabu dzīvokli Rīgas zaļajā, klusajā centrā
Izīrē piln",Zirnu 6,2,42,5/6,Chrusch.,10.48€,440€/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/ebgjg.html,"Īpašnieks izīrē 2-istabu dzīvokli 50, 2 m2 platībā bez mājdzīvni",Pededzes 3,2,50,4/5,New,13 €,650  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/fdcdj.html,"Gaiša un Mājīga studija pie parka, jauns remonts, viss gatavs Dz",Klijanu 16,1,22,4/8,New,17.73 €,390  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfbgcl.html,Сдается уютная 2-х комнатная квартира в центре с хозяйственным п,Lejas 7,2,65,1/2,Spec. pr.,12.31€,800€/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/beexxm.html,Сдается уютная 3-х комнатная квартира в центре с хозяйственным п,Lejas 7,3,65,1/2,Recon.,12.31€,800€/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bpmpb.html,"Сдается квартира на длительный срок , без посредников. Квартира",Petersalas 9,2,45,4/4,Pre-war house,10.78 €,485  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/beocdf.html,Īpašniece ilgtermiņā izīrē divistabu dzīvokli ar balkonu Duntes,Duntes 28,2,56,5/16,New,11.07 €,620  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/becgki.html,"Īpašnieks (bez starpniekiem) izīrē ērtu 2 istabu dzīvokli 47, 8",Silmachu 2,2,48,2/4,Pre-war house,8.33 €,400  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/jmjic.html,Piedāvājam ilgtermiņa īrei plašu trīsistabu dzīvokli atjaunotajā,Ausekla 11,3,140,3/6,Recon.,12.86 €,"1,800  €/mon."
https://www.ss.com/msg/en/real-estate/flats/riga/centre/dgjdn.html,"Bezmaksas parkings. Ar balkonu, studijas tipa vienistabas dzīvok",Lachplesha 111,1,30,4/6,New,1.17 €,35  €/day
https://www.ss.com/msg/en/real-estate/flats/riga/centre/fgnpk.html,2-stāvu dzīvoklis ar terasi Kr. Valdemāra un Zaubes ielas stūrī.,Valdemara 75,3,103,5/6,Pre-war house,9.22 €,950  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/djffh.html,"Tīrs, ļoti kluss studijas tipa dzīvoklis ar vienu guļamistabu, j",Lachplesha 111,2,40,3/6,New,13 €,520  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebmcb.html,Izīrē gaišu un mājīgu 2 istabu dzīvokli renovētā Staļina laika ē,Eksporta 12,2,53,5/6,Stalin project,11.32 €,600  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/aehpl.html,"Izīrēju mājīgu, labiekārtotu un pilnībā mēbelētu dzīvoklis, Rīga",Gertrudes 133,1,16,4/5,Recon.,25€,400€/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebmxl.html,Tiek izīrēts stilīgs un mājīgs 2-istabas dzīvoklis Rīgas centrā.,Klijanu 22,2,40,8/8,Recon.,16.25 €,650  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfemmj.html,"Izīrē 1 istabas dzīvokli ar visām ērtībām (kluss dzīvoklis, labā",Zvaigzhnu 24,1,22,3/6,Pre-war house,13.64 €,300  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhdmf.html,"Īpašnieks izīrē, bez starpniekiem
Pilsētas centrs, miers un sau",Sadovnikova 22,2,31,3/4,Recon.,20.32 €,630  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/ggkjf.html,"Uz ilgtermiņa īri pieejams dzīvoklis Rīgas centrā. 

Dzīvoklis",Barona 83,3,50,3/3,Recon.,10 €,500  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/dhipe.html,"Uz īri pieejams saulains un silts dzīvoklis labā lokācijā. 
Dzī",Tallinas 1,2,68,3/5,New,9.12 €,620  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bffgel.html,"Izīrē gaišu un mājīgu 2 istabu dzīvokli. 
Dzīvokļa kopējā platī",Patversmes 26,2,40,4/5,Chrusch.,10€,400€/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/hcxcn.html,Ēkas pārvaldnieks Lumi Mājas uz ilgu laiku izīrē 2-istabu dzīvok,Terbatas 72,2,50,4/7,New,14.50 €,725  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/abhif.html,Piedāvājam dzīvokli ilgtermiņa īrei pilsētas prestižākajā kvartā,Antonijas 10,3,63,6/6,Pre-war house,11.11 €,700  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebkoe.html,"Izīrē plašu 4 istabu dzīvokli Rīgas centrā
Ilgtermiņa īrei piee",Merkela 17/19,4,75,3/4,Pre-war house,22.67 €,"1,700  €/mon."
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bemjod.html,"2 istabu dzīvokli Rīgas centrā – Stabu ielā 111A

Izīrē 50m² p",Stabu 111A,2,50,4/4,Pre-war house,15 €,750  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdokn.html,"Izīrēju plašu dzīvokli Rīgā – 100 m². 
No oktobra tiek izīrēts",Latgales 108,4,100,3/6,Pre-war house,7.50 €,750  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/abkxj.html,Izīrē svaigi renovētu un pilnībā aprīkotu 2 istabu dzīvokli Rīga,Valdemara 17a,2,48,4/6,Recon.,19.79 €,950  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/bmhoc.html,"Īpašnieks ilgtermiņā izīrē mājīgu, pilnībā remontētu 5, 5 istabu",Baznicas 34,6,153,4/5,Recon.,8.50€,"1,300€/mon."
https://www.ss.com/msg/en/real-estate/flats/riga/centre/fiojm.html,Ilgtermiņā tiek piedavāts liels dzīvoklis ar 3 atsevišķām guļami,Avotu 11,4,97,2/6,Pre-war house,7.42 €,720  €/mon.
https://www.ss.com/msg/en/real-estate/flats/riga/centre/aehlh.html,"Ilgtermiņā tiek piedavāts divistabu dzīvoklis ar guļamistabu, vi",Avotu 11,2,56,5/6,Pre-war house,8.21 €,460  €/mon.
