description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Vieta, vieta, vieta. Tiek pārdots dzīvoklis ēkā, kas atrodas pre",https://www.ss.com/msg/en/real-estate/flats/riga/centre/blkmm.html,Brivibas 19,4,94,5/6,Pre-war house,"2,122 €","199,500  €"
Balkons. Renovētā ēkā Rīgas centrā pārdod 4 istabu dzīvokli. Izv,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cpgfl.html,Stabu 16,4,109,4/6,Recon.,"1,702 €","185,500  €"
"Trīsistabu dzīvoklis skaisti renovētā ēkā

Ēka atrodas klusā i",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aholk.html,Matisa 101,3,37,1/3,Recon.,"2,288 €","84,640  €"
Piedāvājumā dzīvokļi unikālā koncepta projektā Brooklyn Gates -,https://www.ss.com/msg/en/real-estate/flats/riga/centre/efkbn.html,Gertrudes 110,3,49,3/5,Recon.,"1,568 €","76,850  €"
Pārdod gaišu un plašu 2 istabu dzīvokli (54 m²) kvalitatīvā 1959,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afpjd.html,Valdemara 147k-1,2,54,5/5,Spec. pr.,"1,850 €","99,900  €"
"Pārdod plašu 4 istabu dzīvokli pilsētas centrā, ēkas 5. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chjkk.html,Stabu 59,4,89,5/5,Pre-war house,"1,348 €","120,000  €"
"Pārdod plašu 4 izoletu istabu dzīvokli pilsētas centrā, ēkas 1.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcijxb.html,Stabu 59,4,87,1/5,Pre-war house,"1,253 €","109,000  €"
"Продается 4комнатная квартира и пятая как зал с кухней, в цену в",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ebnmi.html,Vesetas 15,5,150,4/5,New,"3,233 €","485,000  €"
Pārdod 2 istabu dzīvokli Pulkveža Brieža ielā 15 Klusais Centrs.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bciioj.html,Pulkv. Briezha 15,2,37,3/7,Recon.,"2,919 €","108,000  €"
"Remontējams dzīvoklis klusā un zaļā pilsētas apkaimē, vietā, kas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fxxji.html,Katrinas d. 20 k-2,2,41,4/5,Chrusch.,"1,146 €","47,000  €"
"Pārdod skaistu dzīvokli unikālā dzīvojamā ēkā Hoft, Rīgas klusaj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/genmm.html,Strelnieku 5,3,85,4/6,New,"5,588 €","475,000  €"
Tiek pārdots saulains 2-istabu dzīvoklis. Lielisks piedāvājums i,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eocxg.html,Artilerijas 43,2,43,2/2,Pre-war house,881 €,"37,890  €"
"Продаю 3-комнатную квартиру. 2 изолированные комнаты, гостиная с",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dcppn.html,Gertrudes 69/71,3,82,2/6,Pre-war house,"1,585 €","130,000  €"
Apstiprināts projekts divstāvu mansarda dzīvoklim ar skatu virs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/elxpc.html,Valdemara 57/59,Other,331,6/6,Pre-war house,"1,048 €","346,750  €"
Pārdod dzīvokli ar palīgtelpu. Tas atrodas 1903. gadā arhitekta,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhdej.html,Valmieras 28,2,64,5/5,Recon.,"1,508 €","96,500  €"
"Pārdod mājīgu divistabu dzīvokli Rīgā – Matīsa ielā 59, Centrā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cihpo.html,Matisa 59,2,57,3/5,Pre-war house,"1,968 €","112,200  €"
"Pārdod koptu un siltu 1-istabas dzīvokli renovētā, ēkas vidus da",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdgp.html,Stabu 52,1,19,2/3,Pre-war house,"2,579 €","48,995  €"
"Dzīvoklis ar kamīnu, balkonu un savu stāvvietu pašā pilsētas sir",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chxji.html,Merkela 8,4,115,5/6,Pre-war house,"1,670 €","192,000  €"
Pārdodam plašu un mājīgu 3 istabu dzīvokli klusā Dzirnavu ielas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjegd.html,Dzirnavu 3,3,94,3/5,Recon.,"2,117 €","199,000 €"
Piedāvājam pārdošanai lielisku un saulainu 2-istabu dzīvokli jau,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdfol.html,Gertrudes 65B,2,66,2/6,New,"2,718 €","179,420  €"
"Gaišs, kluss trīsistabu dzīvoklis pagalma mājā. Viesistaba apvie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/behldk.html,Lachplesha 45,3,55,4/5,Pre-war house,"2,018 €","111,000  €"
"Pārdodam gaišu un ļoti klusu 2-istabu dzīvokli Rīgas centrā, Brī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/clbmf.html,Brivibas 92/94,2,52,2/5,Spec. pr.,"1,712 €","89,000  €"
"Piedāvājam pārdošanai 3-istabu dzīvokli jaunajā projektā ""Ģertrū",https://www.ss.com/msg/en/real-estate/flats/riga/centre/benokc.html,Gertrudes 65,3,52,2/6,New,"2,889 €","150,220  €"
"Tiek pārdods kompakts trīs istabas dzīvoklis (60 kv. m)
Atrašan",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcdxj.html,Strelnieku 19,3,60,2/3,Recon.,"2,733 €","164,000  €"
"Īpašnieks pārdod gaišu, saulainu un mājīgu 4-istabu dzīvokli (dz",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aimcm.html,Artilerijas 66B,4,64,3/5,Pre-war house,"1,858 €","118,900 €"
"Pārdošanā četristabu dzīvoklis ar kopējo platību 60, 1 m² Bruņin",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcimcf.html,Bruninieku 20,4,60,2/6,Recon.,"2,417 €","145,000  €"
"Pārdošanā renovēts 1 istabu dzīvoklis Rīgas centrā

Adrese: Br",https://www.ss.com/msg/en/real-estate/flats/riga/centre/eohfx.html,Bruninieku 121,1,27,1/4,Recon.,"2,148 €","58,000  €"
"Pārdod elegantu, pilnībā mēbelētu dzīvokli Raiņa namā – Raiņa bu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/abpli.html,Raina boul. 27,2,48,3/6,Recon.,"3,938 €","189,000  €"
Premium 2 istabu dzīvoklis ar terasi jaunajā projektā Stabu 2A,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afjoe.html,Stabu 2A,2,57,4/7,New,"3,237 €","184,500  €"
"Pārdod 2 istabu dzīvokli ar logiem kas vērsti uz pagalma pusi, t",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afjbp.html,Valmieras 6,2,34,3/3,Pre-war house,935 €,"31,800  €"
"Mājīgs 1-istabas dzīvoklis Centrā. 

Par īpašumu :
+ Mēbeles",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fdknl.html,Valmieras 32,1,20,1/2,Pre-war house,"1,125 €","22,500 €"
Pārdošanā plašs 2 istabu dzīvoklis renovētā 8 dzīvokļu mājā Rīga,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcommc.html,Tallinas 96,2,60,2/2,Recon.,"1,375 €","82,500  €"
Предлагается к продаже светлая и функциональная 2-комнатная квар,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aebfc.html,Chaka 121,2,54,6/6,Recon.,"1,333 €","72,000  €"
"Продается квартира в одноэтажном доме, отдельный вход со двора,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclifc.html,Maiznicas 4,2,65,1/1,Pre-war house,815 €,"53,000  €"
"Kombo -

- Dzīvokļa īpašums, 
- Domājamā daļa no zemes, 
- I",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aehdc.html,Dzirnavu 72,4,87,3/5,Recon.,"1,598 €","139,000  €"
Pārdošanā plašs 3 istabu dzīvoklis ar pabeigtiem apdares darbiem,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aeljp.html,Tallinas 96,3,76,2/2,Recon.,"1,551 €","117,900  €"
Piedāvājam rezervācijai divu istabu dzīvokli ar platību 46 m² vē,https://www.ss.com/msg/en/real-estate/flats/riga/centre/heonx.html,Bruninieku 41,4,46,4/5,Pre-war house,"1,900 €","87,400  €"
Pārdošanā 2 istabu dzīvoklis Skanstē – lieliska iespēja izveidot,https://www.ss.com/msg/en/real-estate/flats/riga/centre/begpnc.html,Tomsona 23,2,43,4/5,Chrusch.,"1,686 €","72,500  €"
Pārdošanā 2 istabu dzīvoklis renovētā 8 dzīvokļu mājā Rīgas cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclicm.html,Tallinas 96,2,41,2/2,Recon.,"1,778 €","72,900  €"
Piedāvājam rezervācijai 3-istabu dzīvokli ar platību 73 m² vēstu,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aenid.html,Bruninieku 41,3,73,2/5,Pre-war house,"1,900 €","138,700  €"
Piedāvājam rezervācijai 4-istabu dzīvokli ar platību 82.8 m² vēs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/agfho.html,Bruninieku 41,4,83,3/5,Pre-war house,"1,895 €","157,320  €"
Īpašnieks pārdod telpas dzīvoklim/birojam pašā Rīgas centrā. Ir,https://www.ss.com/msg/en/real-estate/flats/riga/centre/diejg.html,Tomsona 11,3,88,1/5,Stalin project,"1,600 €","140,800  €"
Pārdošanā pārdomāti iekārtots studio tipa dzīvoklis renovētā ēkā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gcjnl.html,Barona 24/26,1,26,6/6,Recon.,"3,827 €","99,500  €"
Собственник продает однокомнатную квартиру. Совмещенный санузел,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahbbm.html,Bruninieku 93A,1,22,1/5,Pre-war house,"1,682 €","37,000  €"
Dzīvoklis vēsturiskā ēkā ar mūsdienu tehnoloģijām un izsmalcināt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hbplk.html,Baznicas 7,5,155,3/5,Pre-war house,"3,839 €","595,000  €"
"Izvēlies Magdalēnas kvartāls vietu, kur pilsēta satiekas ar Mier",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cpfjx.html,Antonijas 17A,3,142,2/6,New,"3,965 €","563,000  €"
Pārdošanā 2 istabu dzīvoklis 60 m² platībā vienā no Rīgas skaist,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fcpoe.html,Antonijas 20,2,60,6/7,Recon.,"3,750 €","225,000  €"
New Hanza apartamenti projektā rezervēšanai ir pieejams trīsista,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjbeo.html,G. Kluca 10,3,71,2/9,New,"3,727 €","264,600 €"
Pillar attīstītajā New Hanza apartamenti projektā rezervēšanai i,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclfkb.html,G. Kluca 10,4,90,8/9,New,"4,021 €","361,900  €"
3-istabu apartaments ar saulainu terasi Rīgas klusajā centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/denlk.html,Ganu 2,3,117,5/5,Pre-war house,"2,393 €","280,000  €"
Gaumīgs un skaisti iekārtots četru istabu dzīvoklis renovētā nam,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcikjd.html,Alauksta 7,4,75,1/4,Recon.,"3,187 €","239,000  €"
Divstāvīgs dzīvoklis ar privātmājas sajūtu ar 2 lielām terasēm u,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cnopc.html,Rupniecibas 50,4,140,5/5,New,"2,929 €","410,000  €"
"Продаётся уютная, светлая 1 комнатная квартира в тихом центре. У",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdfkk.html,Zirnu 6,1,32,2/6,Chrusch.,"1,969 €","63,000  €"
"Zeme īpašumā, pagalma māja, slēgts pagalms, ieeja no pagalma, kā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpgph.html,Stabu 46,3,71,2/6,Pre-war house,"1,901 €","135,000  €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 14 prestižajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/acdgx.html,Pulkv. Briezha 15,2,48,2/7,Recon.,"3,187 €","152,960  €"
"Pārdod plašu 3 istabu dzīvokli pilsētas centrā, ēkas 5. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/agfgi.html,Stabu 59,3,76,5/5,Pre-war house,"1,539 €","117,000  €"
"Pārdod plašu 3 istabu dzīvokli pilsētas centrā, ēkas 4. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bciipe.html,Stabu 59,3,68,4/5,Pre-war house,"1,515 €","103,000  €"
"Pārdod plašu 3 istabu dzīvokli pilsētas centrā, ēkas 2. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fxghb.html,Stabu 59,3,64,2/5,Pre-war house,"1,217 €","77,900  €"
"Mājā nodota ekspuatācījā. 

Dzīvokļi ar pilnu apdari renovētā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afpgc.html,Zvaigzhnu 21,2,35,4/6,Recon.,"2,393 €","83,760  €"
"Unikālais dzīvoklis ar balkonu, vienīgais projekta. 65.9 m2 dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddngl.html,Lachplesha 36,3,68,2/5,Recon.,"3,828 €","260,305  €"
"Дом сдан в эксплуатацию. 
Полностью реновированный дом в самом",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cxfpn.html,Lachplesha 36,2,45,1/5,Recon.,"3,320 €","149,410  €"
Attīstītājs piedāvā dzīvokļus pilnībā atjaunotā vēsturiskā ēkā R,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhxkd.html,Lachplesha 36,2,36,4/5,Recon.,"3,529 €","127,050  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/amfbl.html,Katrinas 5,2,36,2/4,Recon.,"2,697 €","97,104  €"
Pārdodam gaišu un plašu trīsistabu dzīvokli Rīgas centrā. Lielis,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adfjn.html,Gertrudes 105,3,60,2/5,Pre-war house,"1,500 €","90,000  €"
Apartamenti īstiem pilsētas dzīves baudītājiem. Nāc un dzīvo – v,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdmob.html,Skolas 20,3,130,3/6,Recon.,"2,992 €","389,000  €"
"Pārdod dzīvokli jaunajā dzīvojamajā projektā, Rīgas centrā, Daug",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcilhf.html,Krasta 1,1,28,3/3,New,"2,881 €","80,655  €"
Patiesi autentisks dzīvoklis prestižā vietā - Rīgas klusajā cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpelc.html,Vilandes 5,3,73,4/5,Recon.,"2,288 €","167,000  €"
"Terase, izsmalcināta arhitektūra un mūsdienīgs komforts – šis 3",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpffx.html,Valdemara 41a,3,64,5/7,New,"4,000 €","256,000  €"
Pārdod loft stila dzīvokli 28 m² pilsētas centrā. Īpašums ir per,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjldn.html,Birznieka-Upisha 2..,1,28,4/6,New,"3,679 €","103,000  €"
"Rīgas centra jaunajā projektā “Tērbatas dārzs”, kas atrodas Tērb",https://www.ss.com/msg/en/real-estate/flats/riga/centre/begoef.html,Terbatas 78A,3,79,6/7,New,"4,076 €","322,000  €"
Lielisks dzīvoklis pašā pilsētas centrā. Tas atrodas fasādes māj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gjodj.html,Dzirnavu 55,5,135,2/4,Pre-war house,"2,000 €","270,000  €"
"Pārdod plašas un funkcionālas telpas Rīgas centrā, kas šobrīd re",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aechh.html,Cesu 41 k-2,3,75,1/3,Pre-war house,580 €,"43,500  €"
"Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36.

Ēka",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chccp.html,Lachplesha 36,3,69,5/5,Recon.,"3,783 €","261,060  €"
