description,url,street,rooms,area_m2,floor,building_series,price_per_m2_raw,price_raw,price_per_m2,price_eur,price_period,floor_number,building_floors,is_ground_floor,is_top_floor,calculated_price_per_m2,price_m2_difference
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi , p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gflhc.html,J. Dalina 8,4,227,19/24,New,"3,040 €","690,000  €",3040,690000,unknown,19,24,False,False,3039.647577092511,0.35242290748919913
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi dzī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afxph.html,J. Dalina 8,4,227,19/24,New,"3,040 €","690,000  €",3040,690000,unknown,19,24,False,False,3039.647577092511,0.35242290748919913
"Продается просторная и светлая 5-комнатная двухэтажная квартира,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hhfip.html,Zaubes 9А,5,191,6/6,New,"3,084 €","589,000  €",3084,589000,unknown,6,6,False,True,3083.7696335078535,0.23036649214645877
"Izsmalcināta rezidence Rīgas Klusajā centrā, saulainajā Vīlandes",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aggjl.html,Vilandes 8,4,165,2/5,Recon.,"3,321 €","548,000  €",3321,548000,unknown,2,5,False,False,3321.212121212121,0.2121212121210192
Pārdošanā izsmalcināts dizaina dzīvoklis prestižajā Forburgas kv,https://www.ss.com/msg/en/real-estate/flats/riga/centre/beidbl.html,Eksporta 4,6,205,2/6,Recon.,"3,366 €","690,000  €",3366,690000,unknown,2,6,False,False,3365.8536585365855,0.14634146341450105
"Quiet center, new, design masterpiece, sunny, top quality apartm",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddbdd.html,Eksporta 4,6,205,2/6,Recon.,"3,366 €","690,000  €",3366,690000,unknown,2,6,False,False,3365.8536585365855,0.14634146341450105
"Forburgas kvartālā, vienā no Rīgas elegantākajiem un pieprasītāk",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dffpb.html,Ausekla 5,6,205,2/6,Pre-war house,"3,366 €","690,000  €",3366,690000,unknown,2,6,False,False,3365.8536585365855,0.14634146341450105
Izsmalcināts franču stila dzīvoklis vēstniecību rajonā ar privāt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fxxpp.html,Ausekla 2,6,221,3/6,Recon.,"3,394 €","750,000  €",3394,750000,unknown,3,6,False,False,3393.665158371041,0.3348416289591114
Pārdod dzīvoklis Ģertrūdes ielas aplī vēsturiskā renovētā ēkā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hfekm.html,Gertrudes 9,4,153,2/7,Pre-war house,"3,486 €","533,400  €",3486,533400,unknown,2,7,False,False,3486.274509803922,0.2745098039217737
Pārdod elegantu izsmalcināta dizaina dzīvokli Alberta ielā 1 pil,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdhpf.html,Alberta 1,6,209,5/5,Recon.,"3,565 €","745,000  €",3565,745000,unknown,5,5,False,True,3564.593301435407,0.4066985645931709
"Продаётся просторная изящная квартира в историческом центре, в д",https://www.ss.com/msg/en/real-estate/flats/riga/centre/glmbi.html,Pumpura 5,5,330,2/5,Recon.,"3,636 €","1,200,000  €",3636,1200000,unknown,2,5,False,False,3636.3636363636365,0.36363636363648766
"Skolas iela 4

Plašs 4 istabu dzīvoklis 147, 6 m² platībā. 
D",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajcbf.html,Skolas 4,4,148,4/7,Pre-war house,"3,649 €","540,000  €",3649,540000,unknown,4,7,False,False,3648.6486486486488,0.35135135135124074
Pilnībā atjaunots dizaina dzīvoklis Rīgas centrā – Baznīcas ielā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gblck.html,Baznicas 27,4,158,5/5,Pre-war house,"3,734 €","590,000  €",3734,590000,unknown,5,5,False,True,3734.1772151898736,0.17721518987355012
Attīstītājs pārdod penthouse tipa dzīvokli Nr. 14 ir ar plašu pa,https://www.ss.com/msg/en/real-estate/flats/riga/centre/acdmi.html,Skolas 17,3,169,7/7,New,"3,831 €","647,500  €",3831,647500,unknown,7,7,False,True,3831.360946745562,0.3609467455621598
